From,To,Heure_depart,Date,Mode,Description
"(48.71342, 2.19375)","(48.81410, 2.39639)",8:00 AM,29/10/2018,CAR+TC+WALK,Banlieue-Paris
"(48.77321, 2.26971)","(48.85618, 2.30267)",8:00 AM,29/10/2018,CAR+TC+WALK,Banlieue-Paris
"(48.65497, 2.42111)","(48.87826, 2.38266)",8:00 AM,29/10/2018,CAR+TC+WALK,Banlieue-Paris
"(48.86155, 2.68684)","(48.87465, 2.30850)",8:00 AM,29/10/2018,CAR+TC+WALK,Banlieue-Paris
"(48.89429, 2.72118)","(48.81410, 2.39639)",8:00 AM,29/10/2018,CAR+TC+WALK,Banlieue-Paris
"(48.93987, 2.65320)","(48.86268, 2.35382)",6:00PM,29/10/2018,CAR+TC+WALK,Banlieue-Paris
"(48.99779, 2.38575)","(48.90084, 2.38541)",6:00PM,29/10/2018,CAR+TC+WALK,Banlieue-Paris
"(48.88684, 2.07710)","(48.82857, 2.37854)",6:00PM,29/10/2018,CAR+TC+WALK,Banlieue-Paris
"(48.82314, 2.13478)","(48.86291, 2.35245)",6:00PM,29/10/2018,CAR+TC+WALK,Banlieue-Paris
"(48.77882, 2.04208)","(48.87104, 2.33391)",6:00PM,29/10/2018,CAR+TC+WALK,Banlieue-Paris
"(48.71342, 2.19375)","(48.65497, 2.42111)",8:00 AM,29/10/2018,CAR+TC+WALK,Banlieue-Banlieue
"(48.77321, 2.26971)","(48.86155, 2.68684)",8:00 AM,29/10/2018,CAR+TC+WALK,Banlieue-Banlieue
"(48.65497, 2.42111)","(48.99779,2.38575)",8:00 AM,29/10/2018,CAR+TC+WALK,Banlieue-Banlieue
"(48.86155, 2.68684)","(48.99779, 2.38575)",8:00 AM,29/10/2018,CAR+TC+WALK,Banlieue-Banlieue
"(48.89429, 2.72118)","(48.88684, 2.07710)",8:00 AM,29/10/2018,CAR+TC+WALK,Banlieue-Banlieue
"(48.93987, 2.65320)","(48.82314, 2.13478)",6:00PM,29/10/2018,CAR+TC+WALK,Banlieue-Banlieue
"(48.99779, 2.38575)","(48.71342, 2.19375)",6:00PM,29/10/2018,CAR+TC+WALK,Banlieue-Banlieue
"(48.88684, 2.07710)","(48.77321, 2.26971)",6:00PM,29/10/2018,CAR+TC+WALK,Banlieue-Banlieue
"(48.82314, 2.13478)","(48.86155, 2.68684)",6:00PM,29/10/2018,CAR+TC+WALK,Banlieue-Banlieue
"(48.77882, 2.04208)","(48.99779,2.38575)",6:00PM,29/10/2018,CAR+TC+WALK,Banlieue-Banlieue
