,,distance,distance,nbJourney,nbTransit,time,time
,,mean,std,sum,sum,mean,std
requestId,mode,,,,,,
Banlieue-Paris1.json,bus,"0,0","0,0",0,0,"0,0","0,0"
Banlieue-Paris1.json,car,"13,51","9,19",2,0,"0,42","0,23"
Banlieue-Paris1.json,rail,"9,72","13,75",1,1,"0,24","0,34"
Banlieue-Paris1.json,subway,"0,0","0,0",0,0,"0,0","0,0"
Banlieue-Paris1.json,waiting,"0,0","0,0",0,0,"0,0","0,0"
Banlieue-Paris1.json,walking,"0,38","0,16",2,0,"0,1","0,04"
Banlieue-Paris10.json,bus,"0,0","0,0",0,0,"0,0","0,0"
Banlieue-Paris10.json,car,"14,61","5,66",5,0,"0,45","0,14"
Banlieue-Paris10.json,rail,"13,41","7,84",4,5,"0,34","0,19"
Banlieue-Paris10.json,subway,"0,49","0,76",2,2,"0,02","0,03"
Banlieue-Paris10.json,waiting,"0,0","0,0",0,0,"0,04","0,03"
Banlieue-Paris10.json,walking,"0,48","0,41",5,0,"0,15","0,1"
Banlieue-Paris2.json,bus,"0,22","0,31",1,1,"0,03","0,05"
Banlieue-Paris2.json,car,"9,88","0,0",2,0,"0,33","0,0"
Banlieue-Paris2.json,rail,"0,0","0,0",0,0,"0,0","0,0"
Banlieue-Paris2.json,subway,"0,0","0,0",0,0,"0,0","0,0"
Banlieue-Paris2.json,waiting,"0,0","0,0",0,0,"0,0","0,0"
Banlieue-Paris2.json,walking,"0,26","0,11",2,0,"0,07","0,03"
Banlieue-Paris3.json,bus,"0,76","1,09",3,3,"0,08","0,11"
Banlieue-Paris3.json,car,"11,61","7,36",6,0,"0,37","0,18"
Banlieue-Paris3.json,rail,"15,68","7,72",5,5,"0,31","0,16"
Banlieue-Paris3.json,subway,"1,68","2,57",3,5,"0,09","0,14"
Banlieue-Paris3.json,waiting,"0,0","0,0",0,0,"0,13","0,09"
Banlieue-Paris3.json,walking,"0,49","0,36",5,0,"0,18","0,11"
Banlieue-Paris4.json,bus,"0,59","0,66",4,4,"0,05","0,07"
Banlieue-Paris4.json,car,"9,16","8,84",7,0,"0,31","0,22"
Banlieue-Paris4.json,rail,"22,0","11,51",6,6,"0,44","0,24"
Banlieue-Paris4.json,subway,"0,52","1,38",1,2,"0,02","0,06"
Banlieue-Paris4.json,waiting,"0,0","0,0",0,0,"0,07","0,06"
Banlieue-Paris4.json,walking,"0,5","0,33",7,0,"0,16","0,08"
Banlieue-Paris5.json,bus,"3,54","2,94",5,6,"0,28","0,23"
Banlieue-Paris5.json,car,"12,06","7,22",7,0,"0,38","0,18"
Banlieue-Paris5.json,rail,"18,71","10,66",6,7,"0,38","0,24"
Banlieue-Paris5.json,subway,"0,93","1,67",2,2,"0,04","0,08"
Banlieue-Paris5.json,waiting,"0,0","0,0",0,0,"0,1","0,07"
Banlieue-Paris5.json,walking,"0,74","0,35",7,0,"0,24","0,12"
Banlieue-Paris6.json,bus,"0,0","0,0",0,0,"0,0","0,0"
Banlieue-Paris6.json,car,"12,98","11,07",3,0,"0,41","0,28"
Banlieue-Paris6.json,rail,"16,0","13,87",2,2,"0,28","0,27"
Banlieue-Paris6.json,subway,"0,68","1,18",1,1,"0,03","0,06"
Banlieue-Paris6.json,waiting,"0,0","0,0",0,0,"0,02","0,04"
Banlieue-Paris6.json,walking,"0,57","0,38",3,0,"0,15","0,1"
Banlieue-Paris7.json,bus,"0,0",,0,0,"0,0",
Banlieue-Paris7.json,car,"11,31",,1,0,"0,37",
Banlieue-Paris7.json,rail,"0,0",,0,0,"0,0",
Banlieue-Paris7.json,subway,"0,0",,0,0,"0,0",
Banlieue-Paris7.json,waiting,"0,0",,0,0,"0,0",
Banlieue-Paris7.json,walking,"0,02",,1,0,"0,0",
Banlieue-Paris8.json,bus,"0,02","0,04",1,1,"0,0","0,01"
Banlieue-Paris8.json,car,"10,96","8,49",5,0,"0,36","0,21"
Banlieue-Paris8.json,rail,"15,53","9,56",4,6,"0,39","0,26"
Banlieue-Paris8.json,subway,"0,97","1,33",2,2,"0,03","0,05"
Banlieue-Paris8.json,waiting,"0,0","0,0",0,0,"0,07","0,07"
Banlieue-Paris8.json,walking,"0,41","0,18",5,0,"0,16","0,09"
Banlieue-Paris9.json,bus,"1,28","1,08",4,6,"0,19","0,16"
Banlieue-Paris9.json,car,"8,39","6,05",6,0,"0,29","0,15"
Banlieue-Paris9.json,rail,"12,15","7,43",5,5,"0,3","0,21"
Banlieue-Paris9.json,subway,"0,18","0,43",1,1,"0,01","0,03"
Banlieue-Paris9.json,waiting,"0,0","0,0",0,0,"0,11","0,11"
Banlieue-Paris9.json,walking,"0,54","0,24",6,0,"0,17","0,07"
