ID,mode,distance,time
1
1
,walking,1713,1767
,car,8256,1043
,rail,30930,2040
,subway,0,0
,bus,3781,780
,waiting,0,342
,total,44680,5972
2
,walking,1322,1445
,car,9976,1199
,rail,25417,1380
,subway,5075,840
,bus,3781,780
,waiting,0,409
,total,45571,6053
3
,walking,1444,1528
,car,8256,1043
,rail,25417,1380
,subway,6270,1080
,bus,3781,780
,waiting,0,354
,total,45168,6165
4
,walking,1226,1467
,car,4775,730
,rail,32373,2760
,subway,0,0
,bus,3571,660
,waiting,0,505
,total,41945,6122
5
,walking,1263,1500
,car,3832,645
,rail,35993,2820
,subway,0,0
,bus,3571,660
,waiting,0,865
,total,44659,6490
6
,walking,819,1016
,car,8256,1043
,rail,30930,2040
,subway,0,0
,bus,4392,1080
,waiting,0,957
,total,44397,6136
7
,walking,428,694
,car,9976,1199
,rail,25417,1380
,subway,5075,840
,bus,4392,1080
,waiting,0,1024
,total,45288,6217
8
,walking,522,753
,car,6533,888
,rail,25417,1380
,subway,8289,1380
,bus,4392,1080
,waiting,0,1089
,total,45153,6570
9
,walking,773,974
,car,3832,645
,rail,39556,2700
,subway,0,0
,bus,4392,1080
,waiting,0,1317
,total,48553,6716
